Date,District,Vegetable,Sales (kg)
1/1/24,Colombo,Carrots,145800
1/1/24,Colombo,Beans,105300
1/1/24,Colombo,Cabbage,118800
1/1/24,Colombo,Tomatoes,248400
1/1/24,Colombo,Potatoes,225000
1/1/24,Colombo,Brinjals,327600
1/1/24,Colombo,Pumpkins,252000
1/1/24,Colombo,Spinach,252000
1/1/24,Kandy,Carrots,147600
1/1/24,Kandy,Beans,123000
1/1/24,Kandy,Cabbage,276600
1/1/24,Kandy,Tomatoes,260400
1/1/24,Kandy,Potatoes,123600
1/1/24,Kandy,Brinjals,84000
1/1/24,Kandy,Pumpkins,257400
1/1/24,Kandy,Spinach,114000
1/1/24,Batticaloa,Carrots,115000
1/1/24,Batticaloa,Beans,67000
1/1/24,Batticaloa,Cabbage,65250
1/1/24,Batticaloa,Tomatoes,90250
1/1/24,Batticaloa,Potatoes,84500
1/1/24,Batticaloa,Brinjals,84750
1/1/24,Batticaloa,Pumpkins,99500
1/1/24,Batticaloa,Spinach,83500
1/1/24,Jaffna,Carrots,23000
1/1/24,Jaffna,Beans,120750
1/1/24,Jaffna,Cabbage,122250
1/1/24,Jaffna,Tomatoes,42250
1/1/24,Jaffna,Potatoes,105500
1/1/24,Jaffna,Brinjals,113500
1/1/24,Jaffna,Pumpkins,37000
1/1/24,Jaffna,Spinach,33250
1/2/24,Colombo,Carrots,385200
1/2/24,Colombo,Beans,399600
1/2/24,Colombo,Cabbage,254700
1/2/24,Colombo,Tomatoes,239400
1/2/24,Colombo,Potatoes,450000
1/2/24,Colombo,Brinjals,332100
1/2/24,Colombo,Pumpkins,225000
1/2/24,Colombo,Spinach,236700
1/2/24,Kandy,Carrots,160200
1/2/24,Kandy,Beans,112800
1/2/24,Kandy,Cabbage,45600
1/2/24,Kandy,Tomatoes,100800
1/2/24,Kandy,Potatoes,81000
1/2/24,Kandy,Brinjals,114600
1/2/24,Kandy,Pumpkins,138000
1/2/24,Kandy,Spinach,139800
1/2/24,Batticaloa,Carrots,82750
1/2/24,Batticaloa,Beans,19000
1/2/24,Batticaloa,Cabbage,110500
1/2/24,Batticaloa,Tomatoes,73250
1/2/24,Batticaloa,Potatoes,104250
1/2/24,Batticaloa,Brinjals,50500
1/2/24,Batticaloa,Pumpkins,74750
1/2/24,Batticaloa,Spinach,102250
1/2/24,Jaffna,Carrots,26000
1/2/24,Jaffna,Beans,87500
1/2/24,Jaffna,Cabbage,49500
1/2/24,Jaffna,Tomatoes,67250
1/2/24,Jaffna,Potatoes,111250
1/2/24,Jaffna,Brinjals,99500
1/2/24,Jaffna,Pumpkins,72000
1/2/24,Jaffna,Spinach,68000
1/3/24,Colombo,Carrots,386100
1/3/24,Colombo,Beans,379800
1/3/24,Colombo,Cabbage,441000
1/3/24,Colombo,Tomatoes,66600
1/3/24,Colombo,Potatoes,423000
1/3/24,Colombo,Brinjals,287100
